transaction_id,sale_date,store_id,product_id,quantity,unit_price,discount,total_amount,payment_method,sales_rep
TXN-00560,2024-04-11,S006,P005,3,34.99,0.05,99.72,APPLE PAY,Tom B.
TXN-00460,03/11/2024,S001,P018,1,85.0,0,85.0,PayPal,James T.
TXN-01001,29-Apr-2023,S005,P013,5,44.95,0.25,168.56,PAYPAL,James T.
TXN-01193,2023-09-19,S003,P014,1,89.95,0,89.95,Debit Card,Amy K.
TXN-00679,2023-08-31,S002, P016 ,4,49.95,0.15,169.83,Apple Pay,Carlos R.
TXN-00688,12/18/2023,S008,P004,5,49.95,NA,212.29,debit card,David N.
TXN-00495,25-Sep-2023,S004,P020,5,59.95,0.15,254.79,Apple Pay,
TXN-00369,01-Sep-2023,S003,P020,2,59.95,0.25,89.93,Gift Card,Priya M.
TXN-00467,29-Sep-2024,S002,P009,4,74.95,0.25,224.85,gift card,James T.
TXN-00874,2023-03-19,S004,P009,2,74.95,0.05,142.41,Apple Pay,James T.
TXN-00756,06/04/2023,S007,P003,3,129.0,0.2,309.6,Gift Card,Lin W.
TXN-00654,08/13/2023,S006, P010 ,4,69.95,0,279.8,Debit Card,James T.
TXN-00031,20-Apr-2024,S001,P018,2,85.0,0,170.0,Debit Card,Tom B.
TXN-00862,05/14/2023,S004,P005,4,34.99,0.15,118.97,Debit Card,Tom B.
TXN-00350,2023-02-17,S001,P010,1,69.95,0,69.95,Gift Card,David N.
TXN-00780,11-May-2024,S006,P005,-5,34.99,0.15,148.71,Gift Card,David N.
TXN-01072,07/20/2024,S004,P014,3,89.95,0.25,202.39,Debit Card,Lin W.
TXN-00421,11/21/2024,S004,P003,4,129.0,0.15,438.6,Credit Card,Lin W.
TXN-01121,02/15/2023,S001,P016,3,49.95,0.05,142.36,Apple Pay,Priya M.
TXN-01094,2023-01-03,,P004,2,49.95,0.1,89.91,GIFT CARD,Tom B.
TXN-00236,2023-04-29,S001,P010,3,69.95,0.15,178.37,apple pay,Priya M.
TXN-00751,03-Sep-2024,S007,P019,1,79.95,0,79.95,Cash,Lin W.
TXN-00295,03/07/2023,S002,P007,2,64.95,0.2,103.92,CREDIT CARD,James T.
TXN-00735,2023-06-22,S007,P011,5,198.0,0.1,891.0,debit card,Tom B.
TXN-00935,09/06/2024,S007,P009,2,74.95,0.1,134.91,Gift Card,
TXN-00559,11/24/2023,S001,P010,1,69.95,0.05,66.45,Gift Card,
TXN-00615,2023-10-16,S002,P012,5,119.0,0.15,505.75,DEBIT CARD,Maria S.
TXN-00522,08/19/2023,S003,P010,1,69.95,0.25,89.64,Cash,David N.
TXN-00777,03/31/2024,S008,P008,3,89.95,0.15,229.37,Apple Pay,Amy K.
TXN-00549,2024-12-21,S005,P014,2,89.95,0,179.9,Debit Card,
TXN-01085,01/27/2024,S003,P002,1,59.95,0,59.95,credit card,James T.
TXN-00786,11/03/2023,S003,P011,5,198.0,0.25,742.5,Apple Pay,Amy K.
TXN-00085,2024-10-22,S002,P017,5,39.95,0.05,189.76,CASH,David N.
TXN-00860,22-Apr-2023,S006, P010 ,2,69.95,0.2,111.92,Gift Card,Lin W.
TXN-01105,2023-02-26,S008,P018,2,85.0,0,170.0,Gift Card,James T.
TXN-00215,04/14/2023,S007,P005,2,34.99,0,69.98,PayPal,James T.
TXN-00696,11/06/2024,S007,P002,5,59.95,0.1,269.78,Cash,David N.
TXN-00947,2024-06-02,, P003 ,3,129.0,0.15,328.95,CASH,Carlos R.
TXN-01156,2024-01-18,S002,P005,4,34.99,0,139.96,PAYPAL,Priya M.
TXN-00302,05/25/2024,S001, P016 ,2,49.95,0.15,84.92,Cash,Priya M.
TXN-00189,30-Mar-2023,S007,P003,4,129.0,0.1,464.4,Cash,Amy K.
TXN-00364,08/17/2024,S006,P002,1,59.95,0.25,44.96,CREDIT CARD,David N.
TXN-00630,08-May-2023,S006,P012,1,119.0,0.1,107.1,PayPal,Amy K.
TXN-00633,07/20/2023,S007,P007,2,64.95,0.25,97.43,Credit Card,Priya M.
TXN-00183,12/19/2024,S001,P013,5,44.95,0.1,202.28,Gift Card,Priya M.
TXN-01192,13-Jul-2023,S008,P014,4,89.95,0.05,341.81,paypal,Amy K.
TXN-00595,12-Aug-2023,S005,P007,2,64.95,0,129.9,PayPal,Lin W.
TXN-00287,10/14/2023,S008,P019,3,79.95,0.25,179.89,paypal,Lin W.
TXN-00914,2024-12-04,S003,P002,3,59.95,0.15,152.87,CREDIT CARD,Priya M.
TXN-00330,2023-07-12,S007,P014,3,89.95,0.25,202.39,DEBIT CARD,Amy K.
TXN-00660,01/02/2023,S003,P001,5,19.99,n/a,84.96,paypal,Tom B.
TXN-01016,2023-07-29,S006,P002,3,59.95,0,179.85,Debit Card,Amy K.
TXN-00126,11/25/2023,S003,P014,4,89.95,0.25,269.85,cash,Carlos R.
TXN-00109,05-May-2024,S003, P020 ,1,59.95,0,59.95,Gift Card,Amy K.
TXN-00972,27-May-2024,S005,P006,1,79.95,0.25,59.96,CREDIT CARD,David N.
TXN-00372,11-Jan-2023,,P017,3,39.95,0,119.85,PAYPAL,David N.
TXN-00863,27-Jul-2023,S001,P002,3,59.95,0,179.85,Cash,David N.
TXN-01031,2024-08-01,S006,P019,4,79.95,0.05,303.81,Cash,Lin W.
TXN-00832,2024-01-01,S007,P012,3,119.0,0.05,339.15,PAYPAL,David N.
TXN-01002,2023-09-04,S003,P002,5,59.95,0,299.75,Debit Card,Carlos R.
TXN-00761,07-Feb-2023,S008,P011,3,198.0,0,594.0,cash,James T.
TXN-00893,24-Jul-2023,,P016,1,49.95,0.2,39.96,Credit Card,James T.
TXN-00950,07/19/2023,S004,P002,1,59.95,0.1,86.3,Debit Card,Maria S.
TXN-00064,02/10/2024,,P019,3,79.95,0.1,215.87,Apple Pay,Maria S.
TXN-00976,2023-05-18,S006,P014,1,89.95,0.15,76.46,Credit Card,Tom B.
TXN-01134,09/13/2024,S002,P016,3,49.95,0,149.85,Credit Card,Maria S.
TXN-00023,2024-02-27,S007,P020,2,59.95,0.05,113.91,Debit Card,Lin W.
TXN-00622,2024-11-29,S006, P012 ,1,119.0,0.2,95.2,Cash,Tom B.
TXN-01155,2023-10-14,S008,P006,5,79.95,0,399.75,Apple Pay,David N.
TXN-00257,2023-12-06,S007,P003,2,129.0,0,258.0,APPLE PAY,Tom B.
TXN-00276,2024-06-19,S007,P009,2,74.95,0,149.9,PayPal,Maria S.
TXN-00156,2023-05-30,S003,P005,3,34.99,0.1,94.47,Gift Card,Amy K.
TXN-00670,05/09/2023,S006,P005,5,34.99,0.1,157.46,Gift Card,Maria S.
TXN-01199,07-Dec-2023,S006,P010,3,69.95,0,209.85,paypal,Maria S.
TXN-00164,2023-04-28,S008,P011,1,198.0,0.1,178.2,Apple Pay,Maria S.
TXN-00394,22-May-2023,S008,P019,5,79.95,0,399.75,Gift Card,Tom B.
TXN-00458,30-Jul-2024,S004,P016,4,49.95,0.2,159.84,Cash,
TXN-00323,2024-07-04,S005,P015,4,44.95,0,426.94,Debit Card,David N.
TXN-00882,04/02/2024,S006,P005,3,34.99,0.25,78.73,Credit Card,James T.
TXN-01095,2023-10-10,S007,P018,2,85.0,N/A,170.0,gift card,Tom B.
TXN-00438,21-Aug-2024,S002,P008,5,89.95,0,449.75,Cash,David N.
TXN-00042,12/19/2024,S004,P012,3,119.0,0.15,303.45,PayPal,Amy K.
TXN-00404,26-Apr-2023,S005, P019 ,2,79.95,0.25,119.93,APPLE PAY,David N.
TXN-00649,11/21/2023,S002,P016,1,49.95,0.2,39.96,Cash,Amy K.
TXN-01044,2023-11-27,S005,P010,3,69.95,0,209.85,PayPal,Lin W.
TXN-00098,03-Sep-2024,,P020,4,59.95,0,239.8,Gift Card,James T.
TXN-01000,26-Jun-2023,S006,P015,2,44.95,0.05,85.41,Gift Card,Tom B.
TXN-00799,08/19/2023,S005,P001,5,19.99,0.2,79.96,Credit Card,Maria S.
TXN-00750,02/15/2024,,P009,3,74.95,0.15,191.12,Apple Pay,Tom B.
TXN-00684,2024-09-25,S003,P010,1,69.95,0.05,66.45,Gift Card,
TXN-00662,14-Aug-2023,S008,P004,3,49.95,0,149.85,gift card,Lin W.
TXN-00905,2024-10-02,S008,P018,2,85.0,0,170.0,PayPal,David N.
TXN-01016,2023-07-29,S006,P002,3,59.95,0,179.85,Debit Card,Amy K.
TXN-00223,02-Nov-2024,S002, P011 ,3,198.0,0.15,504.9,Cash,Amy K.
TXN-00432,06-Nov-2023,S008,P014,2,89.95,0.15,152.91,Apple Pay,James T.
TXN-00787,2023-07-03,S008,P001,3,19.99,0.25,44.98,debit card,Tom B.
TXN-00958,2024-09-21,S005,P011,1,198.0,0,198.0,Credit Card,James T.
TXN-00442,2024-03-08,S005,P003,4,129.0,0.25,387.0,Cash,Priya M.
TXN-00896,25-Oct-2024,S004, P019 ,-3,79.95,0.15,203.87,Credit Card,Tom B.
TXN-00167,2024-08-27,S006,P012,4,119.0,0,476.0,PayPal,Amy K.
TXN-00946,31-Jan-2024,S002,P010,3,69.95,0,209.85,GIFT CARD,
TXN-00451,06/18/2023,S007,P010,3,69.95,0.1,188.87,Gift Card,David N.
TXN-00511,2024-01-02,S007,P006,1,79.95,0.15,67.96,CREDIT CARD,Maria S.
TXN-00201,22-Nov-2023,S007,P012,2,119.0,0,238.0,paypal,Carlos R.
TXN-01129,02/23/2024,S006,P015,1,44.95,0.1,40.46,Debit Card,Tom B.
TXN-00046,03/27/2024,S008,P004,1,49.95,0.1,44.96,GIFT CARD,Tom B.
TXN-01078,10-Sep-2024,S005,P019,4,79.95,0,319.8,Gift Card,Lin W.
TXN-00017,03-May-2023,S002,P006,1,79.95,0,79.95,Gift Card,Carlos R.
TXN-00610,2023-08-18,S008,P005,5,34.99,0.2,139.96,DEBIT CARD,Carlos R.
TXN-01051,30-Sep-2024,S001,P018,5,85.0,0.1,382.5,Gift Card,Carlos R.
TXN-01027,09/05/2023,S004,P017,3,39.95,0.1,107.87,CREDIT CARD,Maria S.
TXN-00493,09/27/2024,S007,P018,4,85.0,0,340.0,gift card,Maria S.
TXN-01118,08-Jul-2024,,P017,2,39.95,0.1,71.91,PayPal,Maria S.
TXN-00281,11/16/2024,S001,P006,1,79.95,0.1,71.95,cash,Priya M.
TXN-00138,08/12/2024,S001,P005,5,34.99,0.1,157.46,Apple Pay,Carlos R.
TXN-00436,09/22/2023,S001, P007 ,2,64.95,0.1,116.91,Credit Card,Lin W.
TXN-00028,08/04/2023,S005,P013,5,44.95,0,224.75,Cash,Amy K.
TXN-01191,28-Mar-2023,S008,P002,4,59.95,0.05,227.81,Debit Card,Priya M.
TXN-01153,21-Dec-2023,S005,P012,3,119.0,0,357.0,PayPal,James T.
TXN-00333,08-Aug-2024,S001,P020,4,59.95,N/A,203.83,PayPal,
TXN-00868,03/19/2024,,P002,2,59.95,0.1,107.91,Gift Card,Amy K.
TXN-00142,01-May-2023,S004,P011,3,198.0,0,594.0,Debit Card,Carlos R.
TXN-01122,27-Dec-2024,S007,P007,4,64.95,0.15,220.83,Gift Card,
TXN-00659,2023-03-13,S008, P010 ,2,69.95,NA,139.9,Apple Pay,David N.
TXN-00754,12/01/2023,S002,P013,2,44.95,0.15,76.42,Gift Card,Lin W.
TXN-00534,27-Nov-2023,S003,P006,1,79.95,0.2,63.96,Cash,James T.
TXN-00550,2023-06-20,S004,P009,4,74.95,0.25,224.85,Apple Pay,James T.
TXN-00299,2023-08-25,S008,P010,1,69.95,0.2,55.96,PayPal,Amy K.
TXN-00428,04/10/2023,S006,P012,5,119.0,0,595.0,Gift Card,David N.
TXN-00703,2023-10-03,S002,P017,1,39.95,0.25,29.96,Cash,Tom B.
TXN-00466,28-Aug-2024,S005,P002,4,59.95,0.2,191.84,PayPal,Tom B.
TXN-00408,24-Feb-2024,S006,P003,5,129.0,0.2,516.0,Credit Card,James T.
TXN-00393,13-Jan-2023,S002,P015,4,44.95,0.05,170.81,PayPal,James T.
TXN-00334,10/26/2023,S007,P002,5,59.95,0.2,239.8,Debit Card,
TXN-01130,25-Aug-2024,S008,P011,2,198.0,0.2,316.8,apple pay,David N.
TXN-01066,11/16/2024,S003,P005,4,34.99,0.15,118.97,Apple Pay,David N.
TXN-00530,2023-02-08,S008,P013,3,44.95,0.2,107.88,Gift Card,Carlos R.
TXN-00172,02-Mar-2023,S007,P006,5,79.95,0,399.75,Debit Card,Carlos R.
TXN-00837,04/07/2023,S003,P001,4,19.99,0,79.96,Credit Card,David N.
TXN-00471,2024-04-13,S005,P005,5,34.99,0,174.95,Gift Card,Maria S.
TXN-00112,18-Oct-2024,S006,P019,1,79.95,0,79.95,Credit Card,James T.
TXN-00222,2023-04-15,S005,P007,4,64.95,0.1,233.82,PayPal,Priya M.
TXN-00657,2024-11-28,S005,P017,5,39.95,N/A,149.81,Credit Card,Priya M.
TXN-00273,2024-01-30,S006,P015,5,44.95,0,224.75,Gift Card,Carlos R.
TXN-00171,2023-12-23,S002,P008,3,89.95,0,269.85,Cash,Tom B.
TXN-00938,02/24/2024,S005,P005,4,34.99,0.1,125.96,DEBIT CARD,Lin W.
TXN-00216,06-Dec-2023,S007,P005,-5,34.99,0.2,139.96,Gift Card,Maria S.
TXN-00986,11/29/2023,S004,P015,2,44.95,0,89.9,Cash,James T.
TXN-00282,18-Feb-2024,,P012,3,119.0,0.05,339.15,Gift Card,Carlos R.
TXN-00363,04/05/2024,S007,P020,2,59.95,0.25,89.93,PayPal,Priya M.
TXN-00856,09/22/2024,S002,P001,4,19.99,0.2,63.97,Apple Pay,Amy K.
TXN-00106,06/14/2024,S005,P008,1,89.95,0,89.95,GIFT CARD,Lin W.
TXN-00083,02/13/2023,,P017,5,39.95,0.15,169.79,Gift Card,James T.
TXN-01142,03/20/2024,S003,P001,1,19.99,0,19.99,Gift Card,Priya M.
TXN-01151,05/13/2024,S008,P012,3,119.0,0.15,303.45,GIFT CARD,James T.
TXN-00340,2023-07-02,S005,P011,1,198.0,0,198.0,Gift Card,James T.
TXN-00672,2024-10-17,S003,P018,4,85.0,NA,340.0,Apple Pay,
TXN-00527,10/23/2024,S008,P015,4,44.95,0,179.8,Cash,James T.
TXN-00324,14-Dec-2024,S001,P009,2,74.95,0,149.9,Debit Card,Amy K.
TXN-00512,06/28/2023,S004,P007,3,64.95,0,194.85,Cash,Carlos R.
TXN-00147,18-Jan-2023,S008,P016,1,49.95,0,49.95,Credit Card,Priya M.
TXN-00095,2024-06-09,S002,P010,1,69.95,0,69.95,GIFT CARD,Amy K.
TXN-00518,05/24/2024,S007, P015 ,4,44.95,0.2,143.84,CASH,Priya M.
TXN-00802,2024-02-13,S008,P007,4,64.95,0,259.8,Gift Card,Tom B.
TXN-00515,03/25/2023,S001,P009,2,74.95,0.25,112.43,Apple Pay,Carlos R.
TXN-00671,08-May-2024,S002,P011,5,198.0,0,990.0,PAYPAL,
TXN-00037,2024-10-27,S008, P001 ,5,19.99,0,99.95,Debit Card,David N.
TXN-00836,2023-05-03,S006,P001,5,19.99,0,99.95,PayPal,David N.
TXN-00866,2024-01-14,S008,P001,4,19.99,0.15,67.97,Credit Card,David N.
TXN-01006,01-Jun-2023,S005,P010,3,69.95,0,209.85,PayPal,James T.
TXN-00501,06-Jan-2024,S007,P014,3,89.95,0,269.85,Gift Card,
TXN-00633,07/20/2023,S007,P007,2,64.95,0.25,97.43,Credit Card,Priya M.
TXN-00443,2024-02-15,S001,P002,2,59.95,0.25,89.93,credit card,Lin W.
TXN-00494,30-Jun-2024,S004,P019,5,79.95,0.1,359.78,DEBIT CARD,Maria S.
TXN-00412,2023-07-07,S001,P010,3,69.95,0,209.85,Apple Pay,Carlos R.
TXN-00146,2023-08-25,S002,P002,1,59.95,0.2,47.96,APPLE PAY,Lin W.
TXN-00793,2024-04-28,S005,P018,3,85.0,0.25,191.25,CREDIT CARD,Amy K.
TXN-00228,2023-03-01,S002,P016,3,49.95,0,149.85,Apple Pay,David N.
TXN-00844,01/25/2023,S007,P013,4,44.95,0.2,143.84,Gift Card,James T.
TXN-00760,05-Sep-2024,S001,P004,-4,49.95,0.25,149.85,Credit Card,David N.
TXN-00644,2024-09-29,S008, P014 ,4,89.95,0.2,652.54,Cash,Amy K.
TXN-00122,15-Apr-2024,S006,P016,5,49.95,0.2,199.8,Debit Card,David N.
TXN-00924,29-Jun-2024,S003,P016,3,49.95,0,149.85,CASH,Tom B.
TXN-01041,11-Feb-2024,S003,P019,5,79.95,0,399.75,Credit Card,Amy K.
TXN-00048,2024-10-02,S007,P010,5,69.95,0,349.75,DEBIT CARD,James T.
TXN-00857,21-Oct-2023,S003,P015,5,44.95,0.15,191.04,Debit Card,Carlos R.
TXN-00523,2024-02-05,S006,P019,5,79.95,0.2,319.8,Debit Card,Priya M.
TXN-01017,09/06/2024,S004,P005,1,34.99,0,34.99,Apple Pay,James T.
TXN-01067,12/10/2024,S003, P017 ,-2,39.95,0.1,71.91,CREDIT CARD,James T.
TXN-00616,2024-05-10,,P008,3,89.95,0,269.85,PAYPAL,Maria S.
TXN-00903,28-Apr-2024,S001,P010,3,69.95,0,209.85,Gift Card,David N.
TXN-01169,04/13/2023,S006,P002,4,59.95,0.1,215.82,Gift Card,Maria S.
TXN-01022,06/26/2024,S002,P018,3,85.0,0.05,242.25,GIFT CARD,Carlos R.
TXN-00311,2024-10-16,S002, P001 ,2,19.99,0.25,29.98,Gift Card,James T.
TXN-00880,06/13/2023,S004,P016,5,49.95,0.25,187.31,GIFT CARD,Priya M.
TXN-00582,07-Jan-2023,S001,P015,5,44.95,0.25,168.56,Cash,
TXN-00605,20-Mar-2023,S003,P004,2,49.95,0,99.9,Cash,Amy K.
TXN-00479,30-Aug-2023,S002,P015,3,44.95,0,134.85,Cash,Tom B.
TXN-00974,2023-06-21,S006,P013,4,44.95,0,179.8,Debit Card,Priya M.
TXN-00341,03/11/2023,S001,P003,3,129.0,0.15,328.95,GIFT CARD,David N.
TXN-00180,2023-05-24,S007,P020,4,59.95,0.05,227.81,Credit Card,James T.
TXN-00160,2024-11-05,S007,P016,2,49.95,0.1,89.91,cash,Carlos R.
TXN-00422,09/01/2024,S003,P003,3,129.0,0.05,367.65,Debit Card,David N.
TXN-00296,2024-10-03,S007,P010,2,69.95,0.05,132.91,gift card,Amy K.
TXN-00115,06/11/2024,S006,P019,3,79.95,0.05,227.86,gift card,Lin W.
TXN-00506,2023-07-17,S002,P011,1,198.0,0.25,148.5,paypal,David N.
TXN-00352,15-Nov-2023,S003, P010 ,5,69.95,N/A,332.26,credit card,Lin W.
TXN-00519,2024-01-04,S002,P009,2,74.95,0,149.9,Credit Card,James T.
TXN-00588,06-Oct-2024,S008,P004,5,49.95,0,449.42,PAYPAL,Carlos R.
TXN-00784,2024-07-03,S004,P008,2,89.95,0.25,134.93,Credit Card,Tom B.
TXN-00252,22-Apr-2024,S005,P005,2,34.99,0.1,62.98,CASH,Maria S.
TXN-00645,2023-04-28,S007,P010,5,69.95,0.15,297.29,Credit Card,Priya M.
TXN-01043,11/16/2024,S007,P004,2,49.95,0.2,79.92,PayPal,Carlos R.
TXN-00526,12/02/2024,S003,P020,5,59.95,0.1,269.78,PAYPAL,Carlos R.
TXN-00387,2023-06-30,S001,P007,1,64.95,0,64.95,GIFT CARD,Tom B.
TXN-00731,27-Nov-2023,S005,P004,4,49.95,0.1,179.82,PayPal,Amy K.
TXN-00197,2024-04-17,S008,P005,-1,34.99,0.15,29.74,Credit Card,James T.
TXN-00626,08-Aug-2023,S007,P003,3,129.0,0.25,290.25,paypal,Priya M.
TXN-00175,2024-03-15,S002,P015,3,44.95,0,134.85,Debit Card,Priya M.
TXN-00158,07/01/2023,S005,P011,5,198.0,0.05,940.5,Cash,Tom B.
TXN-00514,09/05/2024,S003,P007,2,64.95,0.2,103.92,cash,David N.
TXN-00463,2023-03-31,S008, P010 ,5,69.95,0.15,297.29,Cash,Priya M.
TXN-00086,2023-11-20,S008,P015,5,44.95,0.25,168.56,Apple Pay,David N.
TXN-00808,01/16/2023,S007,P020,5,59.95,0,299.75,CREDIT CARD,Lin W.
TXN-00858,10/03/2024,S001,P015,4,44.95,0.05,170.81,Debit Card,Priya M.
TXN-00427,09/27/2023,S008, P016 ,5,49.95,0,249.75,Gift Card,Maria S.
TXN-01015,15-Dec-2024,S001,P008,1,89.95,0.15,76.46,PayPal,Carlos R.
TXN-00490,11/28/2023,S005,P013,1,44.95,0.15,38.21,Gift Card,Lin W.
TXN-00261,15-Aug-2023,S006,P007,4,64.95,0,259.8,Debit Card,Lin W.
TXN-00649,11/21/2023,S002,P016,1,49.95,0.2,39.96,Cash,Amy K.
TXN-01107,2023-05-22,S002,P018,4,85.0,0.1,306.0,PayPal,Amy K.
TXN-00967,08/17/2023,S008,P020,5,59.95,0.05,525.05,PayPal,David N.
TXN-00884,2023-11-26,S006, P017 ,1,39.95,0.2,31.96,PayPal,Lin W.
TXN-00010,2024-05-12,S005,P008,1,89.95,0.05,85.45,Credit Card,James T.
TXN-01003,2024-05-17,S006,P018,2,85.0,0,170.0,Gift Card,Maria S.
TXN-00155,01/13/2023,S002,P012,5,119.0,0,595.0,Gift Card,David N.
TXN-00151,2023-11-03,S001,P007,5,64.95,0,324.75,Credit Card,Priya M.
TXN-00516,02-Oct-2023,S003,P011,3,198.0,,445.5,Gift Card,Tom B.
TXN-00104,18-Nov-2024,S006,P020,4,59.95,0.1,215.82,Credit Card,Maria S.
TXN-01032,18-Feb-2024,S002,P006,2,79.95,0.1,143.91,Gift Card,Lin W.
TXN-00923,09/11/2024,S007,P009,4,74.95,0.15,254.83,PayPal,Amy K.
TXN-01200,2023-09-03,S007,P013,3,44.95,0.25,101.14,Credit Card,Lin W.
TXN-00908,12/12/2024,S001,P017,1,39.95,0.25,50.38,Credit Card,
TXN-00565,2023-02-23,S003,P002,1,59.95,0.15,50.96,Debit Card,
TXN-00533,2023-09-02,S001,P002,4,59.95,0.05,227.81,Cash,Carlos R.
TXN-00453,2023-04-06,S008,P016,1,49.95,0,49.95,Cash,James T.
TXN-01082,03/10/2023,S004,P013,1,44.95,0.15,38.21,Gift Card,
TXN-00091,01/07/2024,S003,P017,1,39.95,0.2,31.96,Credit Card,David N.
TXN-00528,2024-12-16,S007,P015,4,44.95,0,179.8,Gift Card,James T.
TXN-00058,02/14/2023,S006,P007,2,64.95,0.2,103.92,Gift Card,Carlos R.
TXN-00953,08/28/2024,S006,P017,3,39.95,0.25,89.89,Credit Card,Priya M.
TXN-00077,2024-01-17,S002,P003,1,129.0,0,129.0,Credit Card,Priya M.
TXN-00821,09-Sep-2024,S008,P010,2,69.95,0,139.9,Apple Pay,
TXN-00978,12-Nov-2023,S007,P003,5,129.0,0.15,548.25,GIFT CARD,James T.
TXN-00621,2024-05-14,S008,P009,4,74.95,0,299.8,PayPal,James T.
TXN-00425,2024-07-13,S005,P016,4,49.95,0.1,179.82,PAYPAL,David N.
TXN-00379,2024-11-07,S008,P010,2,69.95,0,139.9,Gift Card,Maria S.
TXN-01030,19-Oct-2024,S007,P020,5,59.95,0.2,239.8,PayPal,Amy K.
TXN-00286,2023-05-03,S004, P008 ,5,89.95,0.15,382.29,Credit Card,Lin W.
TXN-00480,12-Jun-2024,S003,P013,5,44.95,0.05,213.51,Cash,James T.
TXN-00470,12/12/2023,S005,P012,2,119.0,0,238.0,Credit Card,Maria S.
TXN-00349,2023-05-27,S003,P007,3,64.95,0.25,146.14,Cash,Amy K.
TXN-00199,07/11/2024,S004,P018,-1,85.0,0.2,68.0,Gift Card,
TXN-00567,09-Aug-2024,S002,P016,5,49.95,0.05,237.26,paypal,Maria S.
TXN-00865,05/19/2023,S004,P004,2,49.95,0.25,74.93,Credit Card,James T.
TXN-00090,02-Nov-2024,S003,P011,1,198.0,0,198.0,CASH,David N.
TXN-00440,2024-11-18,S005,P001,5,19.99,0,99.95,Apple Pay,Maria S.
TXN-00711,2024-03-25,S005,P006,1,79.95,0.1,71.95,Gift Card,Amy K.
TXN-01145,10/13/2023,S001,P015,-4,44.95,0,179.8,Cash,Maria S.
TXN-00057,02-Nov-2023,S007,P011,5,198.0,0.1,891.0,Cash,Maria S.
TXN-00727,28-May-2023,S006,P016,5,49.95,0,249.75,CASH,Amy K.
TXN-00826,06/26/2023,S005,P006,2,79.95,0.15,135.91,Cash,Priya M.
TXN-00182,03/06/2024,S001,P012,3,119.0,0,357.0,PayPal,
TXN-00624,11/21/2023,S007, P014 ,2,89.95,0.2,143.92,Credit Card,David N.
